regione,somministrazioni,percentuale,dosiConsegnate,aggiornamento,codice_regione,dataAggiornamento
Toscana,6824,24.441261,27920,1/2/2021 10:15:13 PM,09,2021-01-02 
Umbria,980,19.758065,4960,1/2/2021 10:15:13 PM,10,2021-01-02 
Valle Aosta,62,6.231156,995,1/2/2021 10:15:13 PM,02,2021-01-02 
Veneto,6041,15.529563,38900,1/2/2021 10:15:13 PM,05,2021-01-02 
Abruzzo,685,8.632640,7935,1/2/2021 11:15:13 PM,13,2021-01-02 
Basilicata,303,6.084337,4980,1/2/2021 11:15:13 PM,17,2021-01-02 
Calabria,448,3.458124,12955,1/2/2021 11:15:13 PM,18,2021-01-02 
Campania,6671,19.695896,33870,1/2/2021 11:15:13 PM,15,2021-01-02 
Emilia-Romagna,5504,12.544729,43875,1/2/2021 11:15:13 PM,08,2021-01-02 
Friuli-Venezia Giulia,3160,26.410364,11965,1/2/2021 11:15:13 PM,06,2021-01-02 
Lazio,16366,35.729724,45805,1/2/2021 11:15:13 PM,12,2021-01-02 
Liguria,1889,11.865578,15920,1/2/2021 11:15:13 PM,07,2021-01-02 
Lombardia,2446,3.034928,80595,1/2/2021 11:15:13 PM,03,2021-01-02 
Marche,953,10.618384,8975,1/2/2021 11:15:13 PM,11,2021-01-02 
Molise,50,1.680672,2975,1/2/2021 11:15:13 PM,14,2021-01-02 
P.A. Bolzano,1037,17.297748,5995,1/2/2021 11:15:13 PM,21,2021-01-02 
P.A. Trento,2138,42.974874,4975,1/2/2021 11:15:13 PM,22,2021-01-02 
Piemonte,9478,23.182096,40885,1/2/2021 11:15:13 PM,01,2021-01-02 
Puglia,4607,17.818604,25855,1/2/2021 11:15:13 PM,16,2021-01-02 
Sardegna,302,2.349280,12855,1/2/2021 11:15:13 PM,20,2021-01-02 
Sicilia,2471,5.312836,46510,1/2/2021 11:15:13 PM,19,2021-01-02 
Toscana,6824,24.441261,27920,1/2/2021 11:15:13 PM,09,2021-01-02 
Umbria,980,19.758065,4960,1/2/2021 11:15:13 PM,10,2021-01-02 
Valle Aosta,44,4.422111,995,1/2/2021 11:15:13 PM,02,2021-01-02 
Veneto,6041,15.529563,38900,1/2/2021 11:15:13 PM,05,2021-01-02 
Abruzzo,685,8.632640,7935,1/3/2021 11:23:33 AM,13,2021-01-03 
Basilicata,1153,23.152610,4980,1/3/2021 11:23:33 AM,17,2021-01-03 
Calabria,448,3.458124,12955,1/3/2021 11:23:33 AM,18,2021-01-03 
Campania,6671,19.695896,33870,1/3/2021 11:23:33 AM,15,2021-01-03 
Emilia-Romagna,5504,12.544729,43875,1/3/2021 11:23:33 AM,08,2021-01-03 
Friuli-Venezia Giulia,3160,26.410364,11965,1/3/2021 11:23:33 AM,06,2021-01-03 
Lazio,17374,37.930357,45805,1/3/2021 11:23:33 AM,12,2021-01-03 
Liguria,1889,11.865578,15920,1/3/2021 11:23:33 AM,07,2021-01-03 
Lombardia,2416,2.997705,80595,1/3/2021 11:23:33 AM,03,2021-01-03 
Marche,983,10.952646,8975,1/3/2021 11:23:33 AM,11,2021-01-03 
Molise,50,1.680672,2975,1/3/2021 11:23:33 AM,14,2021-01-03 
P.A. Bolzano,1037,17.297748,5995,1/3/2021 11:23:33 AM,21,2021-01-03 
P.A. Trento,2242,45.065327,4975,1/3/2021 11:23:33 AM,22,2021-01-03 
Piemonte,9719,23.771554,40885,1/3/2021 11:23:33 AM,01,2021-01-03 
Puglia,4727,18.282731,25855,1/3/2021 11:23:33 AM,16,2021-01-03 
Sardegna,302,2.349280,12855,1/3/2021 11:23:33 AM,20,2021-01-03 
Sicilia,6700,14.405504,46510,1/3/2021 11:23:33 AM,19,2021-01-03 
Toscana,6824,24.441261,27920,1/3/2021 11:23:33 AM,09,2021-01-03 
Umbria,980,19.758065,4960,1/3/2021 11:23:33 AM,10,2021-01-03 
Valle Aosta,44,4.422111,995,1/3/2021 11:23:33 AM,02,2021-01-03 
Veneto,11119,28.583548,38900,1/3/2021 11:23:33 AM,05,2021-01-03 
Abruzzo,685,8.632640,7935,1/3/2021 1:04:06 PM,13,2021-01-03 
Basilicata,1153,23.152610,4980,1/3/2021 1:04:06 PM,17,2021-01-03 
Calabria,448,3.458124,12955,1/3/2021 1:04:06 PM,18,2021-01-03 
Campania,6671,19.695896,33870,1/3/2021 1:04:06 PM,15,2021-01-03 
Emilia-Romagna,5504,12.544729,43875,1/3/2021 1:04:06 PM,08,2021-01-03 
Friuli-Venezia Giulia,3160,26.410364,11965,1/3/2021 1:04:06 PM,06,2021-01-03 
Lazio,17374,37.930357,45805,1/3/2021 1:04:06 PM,12,2021-01-03 
Liguria,1889,11.865578,15920,1/3/2021 1:04:06 PM,07,2021-01-03 
